Country,AveragScore,EconomicQuality
?Denmark,84.55,76.81
?Sweden,83.67,76.18
?Norway,83.59,77.25
?Finland,83.47,70.28
??Switzerland,83.42,79.71
?Netherlands,82.32,74.34
?Luxembourg,81.83,76.93
?Iceland,81.02,69.92
?Germany,80.81,73.96
?New Zealand,80.47,69.88
?Ireland,80.31,77.81
?United Kingdom,79.95,73.31
?Canada,79.62,65.34
?Austria,79.38,68.41
?Australia,79.36,68.89
?Japan,78.22,66.35
?Singapore,78.21,80.1
?Belgium,77.84,66.39
?United States,77.44,72.34
?Taiwan,77.36,73.86
?Estonia,77.31,73.32
?Denmark,84.55,76.81
?Sweden,83.67,76.18
?Norway,83.59,77.25
?Finland,83.47,70.28
??Switzerland,83.42,79.71
?Netherlands,82.32,74.34
?Luxembourg,81.83,76.93
?Iceland,81.02,69.92
?Germany,80.81,73.96
?New Zealand,80.47,69.88
?Ireland,80.31,77.81
?United Kingdom,79.95,73.31
?Canada,79.62,65.34
?Austria,79.38,68.41
?Australia,79.36,68.89
?Japan,78.22,66.35
?Singapore,78.21,80.1
?Belgium,77.84,66.39
?United States,77.44,72.34
?Taiwan,77.36,73.86
?Estonia,77.31,73.32
?Hong Kong,76.9,78.19
?France,76.73,65.81
?Spain,76.03,57.91
?Czech Republic,75.08,72.12
?Portugal,74.64,60.63
?Slovenia,74.54,64.87
?Malta,74.36,72.04
?South Korea,74.07,74.59
?Italy,73.03,57.77
?Latvia,72.99,65.11
?Lithuania,72.54,65.4
?Israel,72.25,70.96
?Cyprus,71.82,62.65
?Slovakia,71.15,63.32
?Chile,70.18,63.25
?Poland,70.15,63.63
?Uruguay,69.69,55.53
?Costa Rica,69.59,55.84
?Greece,68.48,49.58
?Croatia,68.24,60.36
?Hungary,66.88,66.05
?Malaysia,66.84,64.98
?United Arab Emirates,66.69,66.79
?Romania,66.4,62.04
?Qatar,66.24,73.55
?Mauritius,65.65,52.93
?Bulgaria,65.55,62.46
?Montenegro,65.01,54.03
?Panama,64.32,60.09
?Seychelles,63.65,48.05
?Serbia,62.75,55.37
?Georgia,62.28,51.19
?China,62.15,68.46
?Macedonia,61.95,52.73
?Trinidad and Tobago,61.91,53.22
?Jamaica,61.39,48.02
?Argentina,61.38,41.86
?Peru,61.27,55.34
?Kuwait,60.93,59.91
?Armenia,60.92,50.35
?Bahrain,60.92,57.09
?Indonesia,60.88,55.98
?Thailand,60.79,63.07
?Albania,60.69,45.44
?Brazil,60.07,50.58
?Oman,59.85,54.85
?Dominican Republic,59.85,54.33
?Kazakhstan,59.53,63.31
?Moldova,59.44,47.17
?Mexico,59.3,60.17
?Bosnia and Herzegovina,59.11,52.37
?Vietnam,58.86,60.33
?Ukraine,58.84,51.37
?South Africa,58.67,52.71
?Paraguay,58.56,50.06
?Russia,58.5,62.86
?Belarus,58.4,60.83
?Saudi Arabia,58.35,57.77
?Cabo Verde,58.34,41.07
?Colombia,58.01,50.01
?Suriname,57.91,44.69
?Botswana,57.83,56.28
?Philippines,57.53,57.79
?Ecuador,57.42,42.97
?Jordan,57.14,41.7
?S?o Tom¨¦ and Pr¨ªncipe,57.09,50.57
?Mongolia,57.07,50.62
?Guyana,56.93,54.77
?Namibia,56.38,39.77
?Sri Lanka,56.34,40.95
?Azerbaijan,56.26,54.66
?Belize,55.91,41.64
?Kyrgyzstan,55.75,49
?Turkey,55.5,53.04
?Morocco,55.19,46.89
?El Salvador,55.05,44.71
?Ghana,54.66,39.68
?Tunisia,54.46,43.34
?Uzbekistan,53.8,50.63
?Guatemala,53.73,51.69
?Senegal,53.68,41.66
?India,53.66,48.4
?Cuba,53.44,40.2
?Honduras,53.25,45.44
?Bolivia,53.13,38.92
?Turkmenistan,52.38,54.13
?Kenya,52.25,45.76
?Algeria,52.13,39.95
???Nepal,51.57,45.33
?Rwanda,51.56,49.48
?Lebanon,51.38,31.89
?Tajikistan,51.2,43.67
?Nicaragua,50.22,42.5
?Laos,50.18,46.61
?Gambia,50.1,35.38
?Tanzania,49.2,46.86
?Cambodia,49.19,54.09
?Gabon,48.84,43.07
?C?te d'Ivoire,48.59,47.48
?Egypt,48.57,39.63
?Djibouti,48.47,44.97
?Benin,48.22,43.38
?Bangladesh,47.87,45.09
?Malawi,47.83,37.65
?Iran,47.71,38.93
?Zambia,47.14,30.93
?Comoros,46.93,33.14
?Uganda,46.83,42.04
?Papua New Guinea,46.64,41.23
?Equatorial Guinea,46.59,47.01
?Lesotho,45.62,39.37
?Togo,45.52,38.8
?Swaziland,45.36,44.79
?Burkina Faso,45.12,41.36
?Pakistan,45.1,40.35
?Madagascar,44.94,38.22
?Liberia,44.79,35.83
?Zimbabwe,44.67,37.74
?Iraq,44.66,44.83
?Guinea,44.47,33.15
?Nigeria,44,37.73
?Myanmar?,43.66,38.29
?Sierra Leone,43.62,32.76
?Venezuela,43.6,26.44
?Libya,43.46,45.75
?Cameroon,43.08,43.11
?Congo,42.82,34.7
?Guinea-Bissau,42.78,33.39
?Mozambique,42.7,32.49
?Mali,42.36,41.81
?Niger,42.26,41.53
?Ethiopia,41.87,42.52
?Mauritania,41.23,39.67
?Angola,40.55,41.81
?Haiti,39.82,37.76
?Burundi,38.2,29.98
?Sudan,36.97,24.46
?Syria,36.83,36.35
?Eritrea,36.02,32.83
?Democratic Republic of Congo,35.74,32.45
?Chad,34.69,38.33
?Somalia,34.39,28.23
?Afghanistan,34.18,33.75
?Central African Republic,32.83,40.34
?Yemen,32.65,28.81
?South Sudan,30.4,32.3
